fips,state,county,full_name,state_name,county_name
1003,1,3,"Baldwin County, Alabama",Alabama,Baldwin County
1005,1,5,"Barbour County, Alabama",Alabama,Barbour County
1007,1,7,"Bibb County, Alabama",Alabama,Bibb County
1009,1,9,"Blount County, Alabama",Alabama,Blount County
1011,1,11,"Bullock County, Alabama",Alabama,Bullock County
1013,1,13,"Butler County, Alabama",Alabama,Butler County
1015,1,15,"Calhoun County, Alabama",Alabama,Calhoun County
1017,1,17,"Chambers County, Alabama",Alabama,Chambers County
1019,1,19,"Cherokee County, Alabama",Alabama,Cherokee County
1021,1,21,"Chilton County, Alabama",Alabama,Chilton County
1023,1,23,"Choctaw County, Alabama",Alabama,Choctaw County
1025,1,25,"Clarke County, Alabama",Alabama,Clarke County
1027,1,27,"Clay County, Alabama",Alabama,Clay County
1029,1,29,"Cleburne County, Alabama",Alabama,Cleburne County
1031,1,31,"Coffee County, Alabama",Alabama,Coffee County
1033,1,33,"Colbert County, Alabama",Alabama,Colbert County
1035,1,35,"Conecuh County, Alabama",Alabama,Conecuh County
1037,1,37,"Coosa County, Alabama",Alabama,Coosa County
1039,1,39,"Covington County, Alabama",Alabama,Covington County
1041,1,41,"Crenshaw County, Alabama",Alabama,Crenshaw County
1043,1,43,"Cullman County, Alabama",Alabama,Cullman County
1045,1,45,"Dale County, Alabama",Alabama,Dale County
1047,1,47,"Dallas County, Alabama",Alabama,Dallas County
1049,1,49,"DeKalb County, Alabama",Alabama,DeKalb County
1051,1,51,"Elmore County, Alabama",Alabama,Elmore County
1053,1,53,"Escambia County, Alabama",Alabama,Escambia County
1055,1,55,"Etowah County, Alabama",Alabama,Etowah County
1057,1,57,"Fayette County, Alabama",Alabama,Fayette County
1059,1,59,"Franklin County, Alabama",Alabama,Franklin County
1061,1,61,"Geneva County, Alabama",Alabama,Geneva County
1063,1,63,"Greene County, Alabama",Alabama,Greene County
1065,1,65,"Hale County, Alabama",Alabama,Hale County
1067,1,67,"Henry County, Alabama",Alabama,Henry County
1069,1,69,"Houston County, Alabama",Alabama,Houston County
1071,1,71,"Jackson County, Alabama",Alabama,Jackson County
1073,1,73,"Jefferson County, Alabama",Alabama,Jefferson County
1075,1,75,"Lamar County, Alabama",Alabama,Lamar County
1077,1,77,"Lauderdale County, Alabama",Alabama,Lauderdale County
1079,1,79,"Lawrence County, Alabama",Alabama,Lawrence County
1081,1,81,"Lee County, Alabama",Alabama,Lee County
1083,1,83,"Limestone County, Alabama",Alabama,Limestone County
1085,1,85,"Lowndes County, Alabama",Alabama,Lowndes County
1087,1,87,"Macon County, Alabama",Alabama,Macon County
1089,1,89,"Madison County, Alabama",Alabama,Madison County
1091,1,91,"Marengo County, Alabama",Alabama,Marengo County
1093,1,93,"Marion County, Alabama",Alabama,Marion County
1095,1,95,"Marshall County, Alabama",Alabama,Marshall County
1097,1,97,"Mobile County, Alabama",Alabama,Mobile County
1099,1,99,"Monroe County, Alabama",Alabama,Monroe County
1101,1,101,"Montgomery County, Alabama",Alabama,Montgomery County
1103,1,103,"Morgan County, Alabama",Alabama,Morgan County
1105,1,105,"Perry County, Alabama",Alabama,Perry County
1107,1,107,"Pickens County, Alabama",Alabama,Pickens County
1109,1,109,"Pike County, Alabama",Alabama,Pike County
1111,1,111,"Randolph County, Alabama",Alabama,Randolph County
1113,1,113,"Russell County, Alabama",Alabama,Russell County
1115,1,115,"St. Clair County, Alabama",Alabama,St. Clair County
1117,1,117,"Shelby County, Alabama",Alabama,Shelby County
1119,1,119,"Sumter County, Alabama",Alabama,Sumter County
1121,1,121,"Talladega County, Alabama",Alabama,Talladega County
1123,1,123,"Tallapoosa County, Alabama",Alabama,Tallapoosa County
1125,1,125,"Tuscaloosa County, Alabama",Alabama,Tuscaloosa County
1127,1,127,"Walker County, Alabama",Alabama,Walker County
1129,1,129,"Washington County, Alabama",Alabama,Washington County
1131,1,131,"Wilcox County, Alabama",Alabama,Wilcox County
1133,1,133,"Winston County, Alabama",Alabama,Winston County
2013,2,13,"Aleutians East Borough, Alaska",Alaska,Aleutians East Borough
2016,2,16,"Aleutians West Census Area, Alaska",Alaska,Aleutians West Census Area
2020,2,20,"Anchorage Municipality, Alaska",Alaska,Anchorage Municipality
2050,2,50,"Bethel Census Area, Alaska",Alaska,Bethel Census Area
2060,2,60,"Bristol Bay Borough, Alaska",Alaska,Bristol Bay Borough
2068,2,68,"Denali Borough, Alaska",Alaska,Denali Borough
2070,2,70,"Dillingham Census Area, Alaska",Alaska,Dillingham Census Area
2090,2,90,"Fairbanks North Star Borough, Alaska",Alaska,Fairbanks North Star Borough
2100,2,100,"Haines Borough, Alaska",Alaska,Haines Borough
2105,2,105,"Hoonah-Angoon Census Area, Alaska",Alaska,Hoonah-Angoon Census Area
2110,2,110,"Juneau City and Borough, Alaska",Alaska,Juneau City and Borough
2122,2,122,"Kenai Peninsula Borough, Alaska",Alaska,Kenai Peninsula Borough
2130,2,130,"Ketchikan Gateway Borough, Alaska",Alaska,Ketchikan Gateway Borough
2150,2,150,"Kodiak Island Borough, Alaska",Alaska,Kodiak Island Borough
2158,2,158,"Kusilvak Census Area, Alaska",Alaska,Kusilvak Census Area
2164,2,164,"Lake and Peninsula Borough, Alaska",Alaska,Lake and Peninsula Borough
2170,2,170,"Matanuska-Susitna Borough, Alaska",Alaska,Matanuska-Susitna Borough
2180,2,180,"Nome Census Area, Alaska",Alaska,Nome Census Area
2185,2,185,"North Slope Borough, Alaska",Alaska,North Slope Borough
2188,2,188,"Northwest Arctic Borough, Alaska",Alaska,Northwest Arctic Borough
2195,2,195,"Petersburg Borough, Alaska",Alaska,Petersburg Borough
2198,2,198,"Prince of Wales-Hyder Census Area, Alaska",Alaska,Prince of Wales-Hyder Census Area
2220,2,220,"Sitka City and Borough, Alaska",Alaska,Sitka City and Borough
2230,2,230,"Skagway Municipality, Alaska",Alaska,Skagway Municipality
2240,2,240,"Southeast Fairbanks Census Area, Alaska",Alaska,Southeast Fairbanks Census Area
2261,2,261,"Valdez-Cordova Census Area, Alaska",Alaska,Valdez-Cordova Census Area
2275,2,275,"Wrangell City and Borough, Alaska",Alaska,Wrangell City and Borough
2282,2,282,"Yakutat City and Borough, Alaska",Alaska,Yakutat City and Borough
2290,2,290,"Yukon-Koyukuk Census Area, Alaska",Alaska,Yukon-Koyukuk Census Area
4001,4,1,"Apache County, Arizona",Arizona,Apache County
4003,4,3,"Cochise County, Arizona",Arizona,Cochise County
4005,4,5,"Coconino County, Arizona",Arizona,Coconino County
4007,4,7,"Gila County, Arizona",Arizona,Gila County
4009,4,9,"Graham County, Arizona",Arizona,Graham County
4011,4,11,"Greenlee County, Arizona",Arizona,Greenlee County
4012,4,12,"La Paz County, Arizona",Arizona,La Paz County
4013,4,13,"Maricopa County, Arizona",Arizona,Maricopa County
4015,4,15,"Mohave County, Arizona",Arizona,Mohave County
4017,4,17,"Navajo County, Arizona",Arizona,Navajo County
4019,4,19,"Pima County, Arizona",Arizona,Pima County
4021,4,21,"Pinal County, Arizona",Arizona,Pinal County
4023,4,23,"Santa Cruz County, Arizona",Arizona,Santa Cruz County
4025,4,25,"Yavapai County, Arizona",Arizona,Yavapai County
4027,4,27,"Yuma County, Arizona",Arizona,Yuma County
5001,5,1,"Arkansas County, Arkansas",Arkansas,Arkansas County
5003,5,3,"Ashley County, Arkansas",Arkansas,Ashley County
5005,5,5,"Baxter County, Arkansas",Arkansas,Baxter County
5007,5,7,"Benton County, Arkansas",Arkansas,Benton County
5009,5,9,"Boone County, Arkansas",Arkansas,Boone County
5011,5,11,"Bradley County, Arkansas",Arkansas,Bradley County
5013,5,13,"Calhoun County, Arkansas",Arkansas,Calhoun County
5015,5,15,"Carroll County, Arkansas",Arkansas,Carroll County
5017,5,17,"Chicot County, Arkansas",Arkansas,Chicot County
5019,5,19,"Clark County, Arkansas",Arkansas,Clark County
5021,5,21,"Clay County, Arkansas",Arkansas,Clay County
5023,5,23,"Cleburne County, Arkansas",Arkansas,Cleburne County
5025,5,25,"Cleveland County, Arkansas",Arkansas,Cleveland County
5027,5,27,"Columbia County, Arkansas",Arkansas,Columbia County
5029,5,29,"Conway County, Arkansas",Arkansas,Conway County
5031,5,31,"Craighead County, Arkansas",Arkansas,Craighead County
5033,5,33,"Crawford County, Arkansas",Arkansas,Crawford County
5035,5,35,"Crittenden County, Arkansas",Arkansas,Crittenden County
5037,5,37,"Cross County, Arkansas",Arkansas,Cross County
5039,5,39,"Dallas County, Arkansas",Arkansas,Dallas County
5041,5,41,"Desha County, Arkansas",Arkansas,Desha County
5043,5,43,"Drew County, Arkansas",Arkansas,Drew County
5045,5,45,"Faulkner County, Arkansas",Arkansas,Faulkner County
5047,5,47,"Franklin County, Arkansas",Arkansas,Franklin County
5049,5,49,"Fulton County, Arkansas",Arkansas,Fulton County
5051,5,51,"Garland County, Arkansas",Arkansas,Garland County
5053,5,53,"Grant County, Arkansas",Arkansas,Grant County
5055,5,55,"Greene County, Arkansas",Arkansas,Greene County
5057,5,57,"Hempstead County, Arkansas",Arkansas,Hempstead County
5059,5,59,"Hot Spring County, Arkansas",Arkansas,Hot Spring County
5061,5,61,"Howard County, Arkansas",Arkansas,Howard County
5063,5,63,"Independence County, Arkansas",Arkansas,Independence County
5065,5,65,"Izard County, Arkansas",Arkansas,Izard County
5067,5,67,"Jackson County, Arkansas",Arkansas,Jackson County
5069,5,69,"Jefferson County, Arkansas",Arkansas,Jefferson County
5071,5,71,"Johnson County, Arkansas",Arkansas,Johnson County
5073,5,73,"Lafayette County, Arkansas",Arkansas,Lafayette County
5075,5,75,"Lawrence County, Arkansas",Arkansas,Lawrence County
5077,5,77,"Lee County, Arkansas",Arkansas,Lee County
5079,5,79,"Lincoln County, Arkansas",Arkansas,Lincoln County
5081,5,81,"Little River County, Arkansas",Arkansas,Little River County
5083,5,83,"Logan County, Arkansas",Arkansas,Logan County
5085,5,85,"Lonoke County, Arkansas",Arkansas,Lonoke County
5087,5,87,"Madison County, Arkansas",Arkansas,Madison County
5089,5,89,"Marion County, Arkansas",Arkansas,Marion County
5091,5,91,"Miller County, Arkansas",Arkansas,Miller County
5093,5,93,"Mississippi County, Arkansas",Arkansas,Mississippi County
5095,5,95,"Monroe County, Arkansas",Arkansas,Monroe County
5097,5,97,"Montgomery County, Arkansas",Arkansas,Montgomery County
5099,5,99,"Nevada County, Arkansas",Arkansas,Nevada County
5101,5,101,"Newton County, Arkansas",Arkansas,Newton County
5103,5,103,"Ouachita County, Arkansas",Arkansas,Ouachita County
5105,5,105,"Perry County, Arkansas",Arkansas,Perry County
5107,5,107,"Phillips County, Arkansas",Arkansas,Phillips County
5109,5,109,"Pike County, Arkansas",Arkansas,Pike County
5111,5,111,"Poinsett County, Arkansas",Arkansas,Poinsett County
5113,5,113,"Polk County, Arkansas",Arkansas,Polk County
5115,5,115,"Pope County, Arkansas",Arkansas,Pope County
5117,5,117,"Prairie County, Arkansas",Arkansas,Prairie County
5119,5,119,"Pulaski County, Arkansas",Arkansas,Pulaski County
5121,5,121,"Randolph County, Arkansas",Arkansas,Randolph County
5123,5,123,"St. Francis County, Arkansas",Arkansas,St. Francis County
5125,5,125,"Saline County, Arkansas",Arkansas,Saline County
5127,5,127,"Scott County, Arkansas",Arkansas,Scott County
5129,5,129,"Searcy County, Arkansas",Arkansas,Searcy County
5131,5,131,"Sebastian County, Arkansas",Arkansas,Sebastian County
5133,5,133,"Sevier County, Arkansas",Arkansas,Sevier County
5135,5,135,"Sharp County, Arkansas",Arkansas,Sharp County
5137,5,137,"Stone County, Arkansas",Arkansas,Stone County
5139,5,139,"Union County, Arkansas",Arkansas,Union County
5141,5,141,"Van Buren County, Arkansas",Arkansas,Van Buren County
5143,5,143,"Washington County, Arkansas",Arkansas,Washington County
5145,5,145,"White County, Arkansas",Arkansas,White County
5147,5,147,"Woodruff County, Arkansas",Arkansas,Woodruff County
5149,5,149,"Yell County, Arkansas",Arkansas,Yell County
6001,6,1,"Alameda County, California",California,Alameda County
6003,6,3,"Alpine County, California",California,Alpine County
6005,6,5,"Amador County, California",California,Amador County
